Pallet,Weight,Profit
1,10,20
2,10,20
3,10,20
4,10,20
5,10,20
6,10,20
7,10,20
8,10,20
9,10,20
10,10,20
11,10,20
12,10,20
13,10,20
14,10,20
15,10,20
16,10,20
17,10,20
18,10,20
19,10,20
20,10,20
21,10,20
22,10,20
23,10,20
24,10,20
25,10,20
26,10,20
27,10,20
28,10,20
29,10,20
30,10,20
31,10,20
32,10,20
33,10,20
34,10,20
35,10,20
36,10,20
37,10,20
38,10,20
39,10,20
40,10,20
41,11,21
42,11,21
43,11,21
44,11,21
45,11,21
46,11,21
47,11,21
48,11,21
49,11,21
50,11,21
51,11,21
52,11,21
53,11,21
54,11,21
55,11,21
56,11,21
57,11,21
58,11,21
59,11,21
60,11,21
61,11,21
62,11,21
63,11,21
64,11,21
65,11,21
66,11,21
67,11,21
68,11,21
69,11,21
70,11,21
71,11,21
72,11,21
73,11,21
74,11,21
75,11,21
76,11,21
77,11,21
78,11,21
79,11,21
80,11,21
81,23,43
82,23,43
83,23,43
84,23,43
85,23,43
86,23,43
87,23,43
88,23,43
89,23,43
90,23,43
91,23,43
92,23,43
93,23,43
94,23,43
95,23,43
96,23,43
97,23,43
98,23,43
99,23,43
100,23,43
101,23,43
102,23,43
103,23,43
104,23,43
105,23,43
106,23,43
107,23,43
108,23,43
109,23,43
110,23,43
111,23,43
112,23,43
113,23,43
114,23,43
115,23,43
116,23,43
117,23,43
118,23,43
119,23,43
120,23,43
