Pallet,Weight,Profit
1,1,10
2,1,10
3,1,10
4,1,10
5,1,10
6,1,10
7,1,10
8,1,10
9,1,10
10,1,10
11,1,10
12,1,10
13,1,10
14,1,10
15,1,10
16,1,10
17,1,10
18,1,10
19,1,10
20,1,10
21,1,10
22,1,10
23,1,10
24,1,10
25,1,10
26,1,10
27,1,10
28,1,10
29,1,10
30,1,10
31,1,10
32,1,10
33,1,10
34,1,10
35,1,10
36,1,10
37,1,10
38,1,10
39,1,10
40,1,10
41,1,10
42,1,10
43,1,10
44,1,10
45,1,10
46,1,10
47,1,10
48,1,10
49,1,10
50,1,10
51,1,10
52,1,10
53,1,10
54,1,10
55,1,10
56,1,10
57,1,10
58,1,10
59,1,10
60,1,10
61,1,10
62,1,10
63,1,10
64,1,10
65,1,10
66,1,10
67,1,10
68,1,10
69,1,10
70,1,10
71,1,10
72,1,10
73,1,10
74,1,10
75,1,10
76,1,10
77,1,10
78,1,10
79,1,10
80,1,10
81,1,10
82,1,10
83,1,10
84,1,10
85,1,10
86,1,10
87,1,10
88,1,10
89,1,10
90,1,10
91,1,10
92,1,10
93,1,10
94,1,10
95,1,10
96,1,10
97,1,10
98,1,10
99,1,10
100,1,10
101,2,20
102,2,20
103,2,20
104,2,20
105,2,20
106,2,20
107,2,20
108,2,20
109,2,20
110,2,20
111,2,20
112,2,20
113,2,20
114,2,20
115,2,20
116,2,20
117,2,20
118,2,20
119,2,20
120,2,20
121,2,20
122,2,20
123,2,20
124,2,20
125,2,20
126,2,20
127,2,20
128,2,20
129,2,20
130,2,20
131,2,20
132,2,20
133,2,20
134,2,20
135,2,20
136,2,20
137,2,20
138,2,20
139,2,20
140,2,20
141,2,20
142,2,20
143,2,20
144,2,20
145,2,20
146,2,20
147,2,20
148,2,20
149,2,20
150,2,20
151,2,20
152,2,20
153,2,20
154,2,20
155,2,20
156,2,20
157,2,20
158,2,20
159,2,20
160,2,20
161,2,20
162,2,20
163,2,20
164,2,20
165,2,20
166,2,20
167,2,20
168,2,20
169,2,20
170,2,20
171,2,20
172,2,20
173,2,20
174,2,20
175,2,20
176,2,20
177,2,20
178,2,20
179,2,20
180,2,20
181,2,20
182,2,20
183,2,20
184,2,20
185,2,20
186,2,20
187,2,20
188,2,20
189,2,20
190,2,20
