Pallet,Weight,Profit
1,1,10
2,1,10
3,1,10
4,1,10
5,1,10
6,1,10
7,1,10
8,1,10
9,1,10
10,1,10
11,1,10
12,1,10
13,1,10
14,1,10
15,1,10
16,1,10
17,1,10
18,1,10
19,1,10
20,1,10
21,1,10
22,1,10
23,1,10
24,1,10
25,1,10
26,1,10
27,1,10
28,1,10
29,1,10
30,1,10
31,1,10
32,1,10
33,1,10
34,1,10
35,1,10
36,1,10
37,1,10
38,1,10
39,1,10
40,1,10
41,1,10
42,1,10
43,1,10
44,1,10
45,1,10
46,1,10
47,1,10
48,1,10
49,1,10
50,1,10
51,1,10
52,1,10
53,1,10
54,1,10
55,1,10
56,1,10
57,1,10
58,1,10
59,1,10
60,1,10
61,1,10
62,1,10
63,1,10
64,1,10
65,1,10
66,1,10
67,1,10
68,1,10
69,1,10
70,1,10
71,1,10
72,1,10
73,1,10
74,1,10
75,1,10
76,1,10
77,1,10
78,1,10
79,1,10
80,1,10
81,1,10
82,1,10
83,1,10
84,1,10
85,1,10
86,1,10
87,1,10
88,1,10
89,1,10
90,1,10
91,25,237
92,25,237
93,25,237
94,25,237
95,25,237
96,25,237
97,25,237
98,25,237
99,25,237
100,25,237
101,24,238
102,24,238
103,24,238
104,24,238
105,24,238
106,24,238
107,24,238
108,24,238
109,24,238
110,24,238
111,24,238
112,24,238
113,24,238
114,24,238
115,24,238
116,24,238
117,24,238
118,24,238
119,24,238
120,24,238
121,24,238
122,24,238
123,24,238
124,24,238
125,24,238
126,24,238
127,24,238
128,24,238
129,24,238
130,24,238
131,24,238
132,24,238
133,24,238
134,24,238
135,24,238
136,24,238
137,24,238
138,24,238
139,24,238
140,24,238
141,24,238
142,24,238
143,24,238
144,24,238
145,24,238
146,24,238
147,24,238
148,24,238
149,24,238
150,24,238
151,24,238
152,24,238
153,24,238
154,24,238
155,24,238
156,24,238
157,24,238
158,24,238
159,24,238
160,24,238
161,24,238
162,24,238
163,24,238
164,24,238
165,24,238
166,24,238
167,24,238
168,24,238
169,24,238
170,24,238
171,24,238
172,24,238
173,24,238
174,24,238
175,24,238
176,24,238
177,24,238
178,24,238
179,24,238
180,24,238
181,24,238
182,24,238
183,24,238
184,24,238
185,24,238
186,24,238
187,24,238
188,24,238
189,24,238
190,24,238
